DateTime,Final price,Historical Low,price,release_date,game_age_days,month,original_price,is_on_sale,discount_percent,last_sale_date,days_since_last_sale,game_title
2022-10-04 15:10:02,59.99,59.99,59.99,2022-10-04 15:10:02,0,10,59.99,0,0.0,,999.0,Dead Space
2023-01-27 17:15:02,0.0,,0.0,2022-10-04 15:10:02,115,1,0.0,0,0.0,,999.0,Dead Space
2023-01-27 18:23:03,59.99,59.99,59.99,2022-10-04 15:10:02,115,1,59.99,0,0.0,,999.0,Dead Space
2023-03-16 17:30:23,50.99,50.99,50.99,2022-10-04 15:10:02,163,3,59.99,1,15.002500416736119,2023-03-16 17:30:23,0.0,Dead Space
2023-03-23 17:26:07,59.99,50.99,59.99,2022-10-04 15:10:02,170,3,59.99,0,0.0,2023-03-16 17:30:23,6.0,Dead Space
2023-05-15 17:24:06,47.99,47.99,47.99,2022-10-04 15:10:02,223,5,59.99,1,20.0033338889815,2023-05-15 17:24:06,0.0,Dead Space
2023-05-29 17:24:01,59.99,47.99,59.99,2022-10-04 15:10:02,237,5,59.99,0,0.0,2023-05-15 17:24:06,13.0,Dead Space
2023-06-29 17:21:25,41.99,41.99,41.99,2022-10-04 15:10:02,268,6,59.99,1,30.005000833472238,2023-06-29 17:21:25,0.0,Dead Space
2023-07-13 17:26:29,59.99,41.99,59.99,2022-10-04 15:10:02,282,7,59.99,0,0.0,2023-06-29 17:21:25,14.0,Dead Space
2023-07-27 17:03:48,41.99,41.99,41.99,2022-10-04 15:10:02,296,7,59.99,1,30.005000833472238,2023-07-27 17:03:48,0.0,Dead Space
2023-08-10 17:05:10,59.99,41.99,59.99,2022-10-04 15:10:02,310,8,59.99,0,0.0,2023-07-27 17:03:48,14.0,Dead Space
2023-09-11 17:23:54,35.99,35.99,35.99,2022-10-04 15:10:02,342,9,59.99,1,40.00666777796299,2023-09-11 17:23:54,0.0,Dead Space
2023-09-25 17:23:59,59.99,35.99,59.99,2022-10-04 15:10:02,356,9,59.99,0,0.0,2023-09-11 17:23:54,14.0,Dead Space
2023-10-26 17:24:15,35.99,35.99,35.99,2022-10-04 15:10:02,387,10,59.99,1,40.00666777796299,2023-10-26 17:24:15,0.0,Dead Space
2023-11-02 17:28:40,59.99,35.99,59.99,2022-10-04 15:10:02,394,11,59.99,0,0.0,2023-10-26 17:24:15,7.0,Dead Space
2023-11-21 18:22:52,29.99,29.99,29.99,2022-10-04 15:10:02,413,11,59.99,1,50.00833472245374,2023-11-21 18:22:52,0.0,Dead Space
2023-11-28 18:32:16,59.99,29.99,59.99,2022-10-04 15:10:02,420,11,59.99,0,0.0,2023-11-21 18:22:52,7.0,Dead Space
2023-12-04 18:24:25,26.99,26.99,26.99,2022-10-04 15:10:02,426,12,59.99,1,55.00916819469912,2023-12-04 18:24:25,0.0,Dead Space
2023-12-11 18:24:34,59.99,26.99,59.99,2022-10-04 15:10:02,433,12,59.99,0,0.0,2023-12-04 18:24:25,7.0,Dead Space
2023-12-21 18:13:30,23.99,23.99,23.99,2022-10-04 15:10:02,443,12,59.99,1,60.010001666944504,2023-12-21 18:13:30,0.0,Dead Space
2024-01-04 18:34:24,59.99,23.99,59.99,2022-10-04 15:10:02,457,1,59.99,0,0.0,2023-12-21 18:13:30,14.0,Dead Space
2024-01-29 18:23:25,23.99,23.99,23.99,2022-10-04 15:10:02,482,1,59.99,1,60.010001666944504,2024-01-29 18:23:25,0.0,Dead Space
2024-02-12 18:23:56,59.99,23.99,59.99,2022-10-04 15:10:02,496,2,59.99,0,0.0,2024-01-29 18:23:25,14.0,Dead Space
2024-03-14 17:47:01,23.99,23.99,23.99,2022-10-04 15:10:02,527,3,59.99,1,60.010001666944504,2024-03-14 17:47:01,0.0,Dead Space
2024-03-28 17:03:13,59.99,23.99,59.99,2022-10-04 15:10:02,541,3,59.99,0,0.0,2024-03-14 17:47:01,13.0,Dead Space
2024-04-29 17:23:57,20.99,20.99,20.99,2022-10-04 15:10:02,573,4,59.99,1,65.01083513918987,2024-04-29 17:23:57,0.0,Dead Space
2024-05-13 17:24:10,59.99,20.99,59.99,2022-10-04 15:10:02,587,5,59.99,0,0.0,2024-04-29 17:23:57,14.0,Dead Space
2024-06-13 17:03:11,17.99,17.99,17.99,2022-10-04 15:10:02,618,6,59.99,1,70.01166861143524,2024-06-13 17:03:11,0.0,Dead Space
2024-06-17 17:23:46,59.99,17.99,59.99,2022-10-04 15:10:02,622,6,59.99,0,0.0,2024-06-13 17:03:11,4.0,Dead Space
2024-06-27 17:55:33,20.99,17.99,20.99,2022-10-04 15:10:02,632,6,59.99,1,65.01083513918987,2024-06-27 17:55:33,0.0,Dead Space
2024-07-11 17:32:04,59.99,17.99,59.99,2022-10-04 15:10:02,646,7,59.99,0,0.0,2024-06-27 17:55:33,13.0,Dead Space
2024-08-05 17:24:05,20.99,17.99,20.99,2022-10-04 15:10:02,671,8,59.99,1,65.01083513918987,2024-08-05 17:24:05,0.0,Dead Space
2024-08-19 17:24:05,59.99,17.99,59.99,2022-10-04 15:10:02,685,8,59.99,0,0.0,2024-08-05 17:24:05,14.0,Dead Space
2024-09-19 17:03:00,20.99,17.99,20.99,2022-10-04 15:10:02,716,9,59.99,1,65.01083513918987,2024-09-19 17:03:00,0.0,Dead Space
2024-09-26 17:02:54,59.99,17.99,59.99,2022-10-04 15:10:02,723,9,59.99,0,0.0,2024-09-19 17:03:00,6.0,Dead Space
2024-10-28 17:24:03,17.99,17.99,17.99,2022-10-04 15:10:02,755,10,59.99,1,70.01166861143524,2024-10-28 17:24:03,0.0,Dead Space
2024-11-11 17:05:03,59.99,17.99,59.99,2022-10-04 15:10:02,769,11,59.99,0,0.0,2024-10-28 17:24:03,13.0,Dead Space
2024-11-27 18:30:14,17.99,17.99,17.99,2022-10-04 15:10:02,785,11,59.99,1,70.01166861143524,2024-11-27 18:30:14,0.0,Dead Space
2024-12-04 18:32:21,59.99,17.99,59.99,2022-10-04 15:10:02,792,12,59.99,0,0.0,2024-11-27 18:30:14,7.0,Dead Space
2024-12-11 18:02:54,14.99,14.99,14.99,2022-10-04 15:10:02,799,12,59.99,1,75.01250208368062,2024-12-11 18:02:54,0.0,Dead Space
2025-01-02 19:01:25,59.99,14.99,59.99,2022-10-04 15:10:02,821,1,59.99,0,0.0,2024-12-11 18:02:54,22.0,Dead Space
2025-01-30 18:01:24,14.99,14.99,14.99,2022-10-04 15:10:02,849,1,59.99,1,75.01250208368062,2025-01-30 18:01:24,0.0,Dead Space
2025-02-13 18:01:21,59.99,14.99,59.99,2022-10-04 15:10:02,863,2,59.99,0,0.0,2025-01-30 18:01:24,13.0,Dead Space
2025-03-13 17:38:08,14.99,14.99,14.99,2022-10-04 15:10:02,891,3,59.99,1,75.01250208368062,2025-03-13 17:38:08,0.0,Dead Space
2025-03-27 17:01:10,59.99,14.99,59.99,2022-10-04 15:10:02,905,3,59.99,0,0.0,2025-03-13 17:38:08,13.0,Dead Space
2025-05-01 17:01:24,14.99,14.99,14.99,2022-10-04 15:10:02,940,5,59.99,1,75.01250208368062,2025-05-01 17:01:24,0.0,Dead Space
2025-05-15 17:01:09,59.99,14.99,59.99,2022-10-04 15:10:02,954,5,59.99,0,0.0,2025-05-01 17:01:24,13.0,Dead Space
2025-06-19 17:01:17,11.99,11.99,11.99,2022-10-04 15:10:02,989,6,59.99,1,80.01333555592599,2025-06-19 17:01:17,0.0,Dead Space
